微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
R4ltkfnIK,":#vivo X Fold6# 新品发布会，开启超能折叠新程，展开大屏无限可能，敬请期待！#AI轻办公神器##OriginOS 6#
X Fold6 新品线上全平台已开启正式预约，点击链接即可解锁超值权益，以旧换新至高补贴1500元！
官网：网页链接
京东自营：网页链接
天猫官旗：网页链接
抖音官旗：网页链接
京东官旗：网页链接
拼多多官旗：网页链接
招行官旗：网页链接
快手官旗：网页链接
vivo+小程序：http://t.cn/AXaCHc7Z vivo的微博视频",,无,无,True,无,无,2026-06-16 09:00,微博视频号,269,57,59
R5s161UzU,":#vivo X Fold6# MWC上海首秀！
6月24日至6月26日，上海新国际博览中心 N3-B80，vivo X Fold6 抢先上手体验！
原子工作台、影像等体验区同步开放，AI Talk社区特邀重磅嘉宾分享干货，共探AI新可能。现场同步展出 vivo Vision、vivo全家桶，精彩互动，邀您参与。
6月26日19:00，#vivo X Fold6# 新品发布会，敬请期待！#OriginOS 6##AI轻办公神器##vivo[超话]#",,https://wx1.sinaimg.cn/large/001Ytvrtgy1ief90uhkelj61nncmyqva02.jpg,无,True,无,无,2026-06-23 15:30,vivo超话,55,1,11
R5rCGxhV5,":#vivo X Fold6# ，你的#AI轻办公神器# 。
✅AI会议助手，行业首发AI分角色转写+总结，分角色记得清、听得懂、看得透。
✅AI文件管家，文档随口问，细节它来答。
✅小V Claw PC版，需求说出口，任务它搞定，手机远程发指令，电脑自动执行。
AI 会议助手、AI 文件管家、小V Claw PC版，让AI不再停留在聊天框里，而是进入你的真实工作流。
6月26日 19:00 新品发布会，敬请期待！#OriginOS 6#         [",,"https://ww2.sinaimg.cn/large/001Ytvrtgy1ief88gjujmj60u01400zj02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ief88i1jfsj60u0140agy02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ief88jgybcj60u0140dl602.jpg",无,True,无,无,2026-06-23 14:29,无,33,4,4
R5j8dC3Eh,":#vivo TWS 5 Pro# 多重旗舰实力，只为成就极致体验！
独立Hi-Fi芯片、圈铁纯净合音架构 ，成就#Hi-Fi人声大师# ，让每一句人声，都更动人心。
旗舰降噪、跨生态无缝三连接，从工作到生活，都让你更从容自在。
6 月 26 日 19:00 重磅发布，敬请期待！
点击下方链接即刻预约新品👇🏼
官网：网页链接
天猫：网页链接
京东：网页链接 vivo的微博视频",,无,无,True,无,无,2026-06-22 16:52,微博视频号,33456,800,1256
R5j5UzRSp,":🚀 评论区晒出你的 四分屏神操作！#vivo X Fold6#
一边蹲直播间抢券，一边盯股票涨跌；左上角追剧，右下角跟朋友聊天……甚至四个窗口全是游戏，轮流玩！
你的原子工作台，想怎么定义就怎么定义～
👇 在评论区晒出你的四分屏图片或文字描述，点赞最高的10位朋友将获得我们准备的🎁！ 
#vivo X Fold6##vivo[超话]#         [",,"https://ww2.sinaimg.cn/large/001Ytvrtgy1iee6hy2b5uj61o0280x6q02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1iee6hz34r7j61o02804qq02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1iee6hzf380j60u0140am702.jpg",无,True,无,无,2026-06-22 16:47,vivo超话,51977,1312,1143
R5icODeNP,":揭秘#vivo X Fold6# 全新升级的原子工作台！不同打开方式，适配更多场景。
看球数据加聊天，就用原子工作台。
旅游攻略做不来，就用原子工作台。
演唱会快人一步，就用原子工作台。
开会值机两不误，就用原子工作台。
一起展开原子工作台的更多面！
6月26日19:00，#vivo X Fold6# 新品发布会，敬请期待！#AI轻办公神器##OriginOS 6# vivo的微博视频",,无,无,True,无,无,2026-06-22 14:31,微博视频号,20059,1462,1147
R5hC7026Z,寻找1000个演唱会神器拍摄机位直拍周杰伦演唱会！0.01元租vivo演唱会神器，山顶也能拥有VIP级清晰画质，长焦直拍周董舞台，每一帧都超清直出。上支付宝搜vivo租赁，抢限量资格！ #vivo演唱会神器#  [组图共2张] 原图 ,,"https://ww1.sinaimg.cn/large/001Ytvrtgy1iedytxkwkxj60sc1fogzq02.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1iedzgiqvg3j60sc1fo7hh02.jpg",无,True,无,无,2026-06-22 13:00,无,22604,1543,1541
R5hjj5WiO,":带你玩转#vivo X Fold6# 全新升级原子工作台！
去年“1+4”的原子工作台，是「串行模式」下，“一主四副” 的多任务。此次推出「并行模式」，四屏同开。
✅右下角内滑，是打开和切换到「串行模式」的固定手势，三指上滑，切换到「并行模式」。
✅「并行模式」下，窗口尺寸还能无极调节，随意拉动，实时自适应布局。
✅无感跨窗，一拖即办。AI 跨窗拖放，图片转文字、转表格等，一拖AI就能读懂你的拖动意图。
✅常用组合，随点随用。原子工作台也是你的一键任务流入口。曾经使用过的工作台组合，会自动保存到组合库，还能添加组合到桌面，随时一点就能回到状态。
6月26日19:00，#vivo X Fold6# 新品发布会，敬请期待！#AI轻办公神器##OriginOS 6# #vivo[超话]#         [",,"https://ww2.sinaimg.cn/large/001Ytvrtgy1iedynq4hafj61o0280h5u02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1iedynld23tj61o028019b02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1iedynh9akxj61o0280k8v02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1iedynbrtb6j61o0280wzd02.jpg",无,True,无,无,2026-06-22 12:14,vivo X Fold6,97,8,17
R5gQdmB7T,vivo X300系列正式成为#龙拳北京嘉年华2026周杰伦演唱会#  官方合作演唱会神器！对周杰伦演唱会的奔赴，每个人都有不同的故事！6月26日-6月28日，带上 #vivo演唱会神器#  vivo X300 Ultra | X300s，一起去鸟巢看周杰伦！  原图 ,,https://wx3.sinaimg.cn/large/001Ytvrtgy1iedxblpyzzj60sc1fo18902.jpg,无,True,无,无,2026-06-22 11:02,微博网页版,476,89,98
R5gw4BxqN,办公Mark、出游Mark ，超能Mark全搞定！和vivo X Fold6 先锋大使 Mark @趙又廷 一起，展开大屏更多可能。6月26日19:00，Mark住#vivo X Fold6#新品发布会，#AI轻办公神器#，喜欢，Mark了！#OriginOS 6##天猫小黑盒#vivo的微博视频  ,,无,无,True,无,无,2026-06-22 10:13,微博视频号,2813,457,402
R4GGIA2Td,快来投票选出#vivo X Fold6# 你最心动的配色！蓝洞，独特而神秘。盐湖，简单纯粹。极夜，不张扬，却也浪漫。黑金，尽显优雅。 #OriginOS 6# #AI轻办公神器#  大家更pick哪个颜色呢~  ,,无,无,True,无,无,2026-06-18 15:00,微博网页版,3415,124,141
R4F0FCofs,解锁#vivo X Fold6# 全新配色！蓝洞，灵感来自“深海大蓝洞”，是“会呼吸的蓝”，独特而神秘。盐湖，灵感来自“天空之镜”，简单纯粹。极夜，灵感来自极圈的长夜，不张扬，却也浪漫。黑金，浓黑为底，鎏金点睛，尽显优雅。 #OriginOS 6##AI轻办公神器##vivo[超话]#  [组图共4张] 原图 ,,"https://ww1.sinaimg.cn/large/001Ytvrtgy1ie99jurroqj65ig7psx6u02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie99jz4a2kj65ig7pskjp02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1ie99k2z36qj65ig7pse8502.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie99k6sskxj65ig7psnpg02.jpg",无,True,无,无,2026-06-18 10:44,vivo超话,183,38,48
R4y7oah24,:6 月 15 日，南博（大理）国际影会之“青年摄影人才发展”研讨会圆满落幕，中国摄协、vivo、大理影会、青年摄影师代表，及高校代表，就中国摄协与 vivo 的战略合作重点项目——《青年摄影家计划》的价值意义、选拔标准、培养体系展开深入论证与讨论。鼓励青年摄影师大胆创作，勇敢表达，让中国移动影像，走向世界舞台！         [,,"https://ww4.sinaimg.cn/large/001Ytvrtgy1ie9ldr0b2lj62cd34gx6p02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1ie9ldsrtwij62pc1io1kz02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie9ljt04idj635c1rrhdu02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1ie9lf25dcsj62pc1io7wi02.jpg",无,True,无,无,2026-06-17 17:11,无,49,0,5
R4y2ZlqbU,旋律与光影交汇，热爱持续升温。「大炮400」增距镜超长焦影像记录，#vivo X300 Ultra专业V单# 见证每一个高燃现场，高光细节历历在目。专业V单更清晰，山顶也是VIP。#歌手直播##出发去创作#  [组图共9张] 原图 ,,"https://ww2.sinaimg.cn/large/001Ytvrtgy1ie8er6j4czj635c2pwkjn02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie8er71x7fj635c2pwhdv02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie8er6ff8mj635c2pwx6r02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie8er5pjayj635c2pw4qr02.jpg,https://ww4.sinaimg.cn/large/001Ytvrtgy1ie8er6dw7aj635c2pwu0y02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie8er76gwdj635c2pwhdw02.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie8er6e5fdj635c2pwe8302.jpg,https://ww2.sinaimg.cn/large/001Ytvrtgy1ie8er75b57j635c2pwqv702.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie8er41mkwj635c2pw7wi02.jpg",无,True,无,无,2026-06-17 17:00,微博网页版,57,3,5
R4vqY6nZ6,#vivo X Fold6#  蓝洞全新配色亮相。以独特色彩传递科技品味，以优雅姿态定格光影之美。 #OriginOS 6##AI轻办公神器# vivo的微博视频  ,,无,无,True,无,无,2026-06-17 10:21,微博视频号,135,9,18
R4uTOqnzO,":#vivo头戴降噪耳机# 全新微风紫配色，火热开售中！
百搭微风紫温柔出圈｜穿搭氛围感直接拉满。
至高58dB自适应降噪｜独享静谧听觉空间。
40mm大动圈空间音频｜颜值实力双双在线。
👇点击链接，入手你的专属搭「紫」💜
官方商城：网页链接
京东自营：网页链接
天猫官旗：网页链接",,https://wx2.sinaimg.cn/large/001Ytvrtgy1ie7atykdh0j62bc334x6p02.jpg,无,True,无,无,2026-06-17 09:00,无,52,4,10
R4nXS8swm,"转发理由:快来一起解锁#vivo S60#的宝藏功能～超好用，超贴心！  
原始用户: OriginOS原系统
转发内容: #vivo S60#这些宝藏功能，真的值得上手试试！✨
好看的锁屏、高效的学习办公，还有超多越用越顺手的贴心功能，等你来解锁～
哪一个最让你心动？评论区和小原聊聊吧！【关注+转发】随机抽取3位幸运用户赠送哔哩哔哩大会员月卡！
#vivo全新系统OriginOS6##OriginOS6#    OriginOS原系统的微博视频   抽奖详情",,无,无,False,无,无,2026-06-16 15:20,无,50,5,4
R4nrIcVrS,#vivo X Fold6# 全新蓝洞配色，是独特的蓝，也是优雅的蓝，会呼吸的蓝。蔡司两亿像素主摄、折叠首发等效200mm vivo蔡司增距镜G2，「折叠小V单」惊喜亮相。和vivo X Fold6先锋大使@朱珠ZhuZhu 一起，展开全新折叠屏，也展开生活的无限可能。#OriginOS 6##AI轻办公神器# #vivo[超话]#  [组图共3张] 原图 ,,"https://ww3.sinaimg.cn/large/001Ytvrtgy1ie72sye72ej616w1o0hdt02.jpg,https://ww1.sinaimg.cn/large/001Ytvrtgy1ie72sxjdw1j616w1o0hdt02.jpg,https://ww3.sinaimg.cn/large/001Ytvrtgy1ie72szabzzj616w1o0kjl02.jpg",无,True,无,无,2026-06-16 14:01,vivo超话,10291,11870,1099
R4lNC6GSn,":为好声音，更进一步！
#vivo TWS 5 Pro# 搭载独立Hi-Fi DAC芯片，呈现极致声音细节；四麦深海智慧降噪，隔绝喧嚣，沉浸聆听；圈铁纯净合音架构，声音更清澈饱满。
#Hi-Fi人声大师# 从音质到降噪，旗舰体验，更进一步。6 月 26 日 19:00 重磅发布，敬请期待！
点击下方链接，即刻预约新品👇
官网：网页链接
天猫：网页链接
京东：网页链接",,https://wx3.sinaimg.cn/large/001Ytvrtgy1ie6x9qtp72j63c04g01l002.jpg,无,True,无,无,2026-06-16 09:50,无,344,104,85
R4fYmqnsu,毕业，是由无数个瞬间组成：最后一次并肩大笑、出校门前的回头、没来得及好好说的再见……这些普通的瞬间，都将成为人生难忘的高光时刻，它们值得被好好记录。 今年夏天，vivo&iQOO 发起「共赴星程 2026毕业影像展」，走进全国50+所高校，让毕业生拍出#我的毕业高光时刻#  原图 ,,https://wx1.sinaimg.cn/large/001Ytvrtgy1ie65t9qnc4j60u01o0npd02.jpg,无,True,无,无,2026-06-15 19:00,无,75,6,12
